epoch,train_loss,valid_loss,pixel_accuracy,dice,jaccard_coeff,time
0,0.2774484157562256,0.33423805236816406,0.9296379089355469,0.30862377567284033,0.18246902802220294,03:38
1,0.3355562686920166,0.4244188666343689,0.9304020404815674,0.16818038926323686,0.09181056271997996,03:32
2,0.36727431416511536,0.3458443880081177,0.9285856485366821,0.4335347055315978,0.27675985357768346,03:32
3,0.28110000491142273,0.3407001495361328,0.9047130346298218,0.346273367136346,0.2093897263641006,03:32
4,0.3130612075328827,0.3761836290359497,0.8828749060630798,0.3670304885566392,0.22476260945755547,03:32
5,0.21647736430168152,0.5297022461891174,0.9305071830749512,0.38977916056213724,0.24206565398707136,03:32
6,0.20234428346157074,0.43413418531417847,0.9312673211097717,0.47047620785898175,0.3075965279365887,03:31
7,0.2861608564853668,0.4183618426322937,0.8938963413238525,0.3389984560444685,0.20409280008083133,03:30
8,0.21489372849464417,0.44964170455932617,0.9123139381408691,0.652693553763382,0.4844432798392133,03:31
9,0.25521865487098694,0.4501006603240967,0.8906922936439514,0.28835989787697536,0.16846993565955223,03:31
10,0.17347276210784912,0.4359484314918518,0.9246676564216614,0.4296410048326171,0.27359413112211456,03:30
11,0.2246340662240982,0.3789125978946686,0.9215596318244934,0.5743712411128247,0.40288976883517025,03:31
12,0.1967909187078476,0.5525540709495544,0.8970211148262024,0.27085251235005925,0.1566393348656285,03:32
13,0.17403435707092285,0.5012497901916504,0.9248643517494202,0.31329605205035377,0.18574454185110303,03:31
14,0.23360295593738556,0.4473250210285187,0.9046128392219543,0.4711681043982438,0.30818830098569444,03:32
15,0.13322922587394714,1.0563914775848389,0.9309582710266113,0.37851025258560095,0.23343363915138357,03:32
16,0.1752186119556427,0.45299509167671204,0.9137886166572571,0.5097480869450941,0.34205497908078397,03:32
17,0.11762527376413345,0.6195612549781799,0.9254902601242065,0.4614867682679025,0.299956320654031,03:32
18,0.13771380484104156,0.6400402188301086,0.910275936126709,0.5389327683065014,0.36886240182242225,03:32
19,0.09347540885210037,1.1758025884628296,0.9244316220283508,0.40324910464563996,0.2525435281225558,03:31
20,0.11276450008153915,0.6296178698539734,0.9158098101615906,0.4071580205010319,0.2556173341370023,03:32
21,0.08244290947914124,0.9293103218078613,0.9289894104003906,0.45316709104752634,0.29296447497643063,03:32
22,0.08574410527944565,1.0512571334838867,0.9260147213935852,0.5512616472214273,0.38051153002483046,03:40
23,0.06861572712659836,0.8455997109413147,0.9295091032981873,0.3225341385106841,0.19227463635195916,03:44
24,0.057088013738393784,0.9772441387176514,0.9182594418525696,0.36842712698607155,0.2258110152968487,03:42
25,0.05682986229658127,0.9743071794509888,0.9044634103775024,0.36495054867366916,0.22320459382902824,03:40
26,0.05359119921922684,1.0085422992706299,0.9200525283813477,0.4615651331429908,0.3000225378965565,03:42
27,0.04387360438704491,1.2847998142242432,0.9199667572975159,0.42476578001445253,0.2696524584251031,03:42
28,0.04546477273106575,1.0444928407669067,0.9268198609352112,0.48924179255955363,0.32383857995942045,03:44
29,0.04222935810685158,1.1774734258651733,0.921244204044342,0.48457941048800257,0.3197656240397585,03:43
